price,price_per_country_mean,price_per_country_mean_diff,price_per_country_median,price_per_country_median_diff,price_per_province_mean,price_per_province_mean_diff,price_per_province_median,price_per_province_median_diff,points_per_country_mean,points_per_country_median,points_per_province_mean,points_per_province_median,points
30.0,39.64513342855757,-9.645133428557564,34.5,-4.5,26.86326167101611,3.1367383289838853,23.5,6.5,88.64735945485519,88.0,88.0,88.0,90
22.0,40.08589605462504,-18.08589605462504,30.0,-8.0,27.215918147549825,-5.215918147549825,25.0,-3.0,88.8061737257717,89.0,88.40799999999999,88.0,87
35.317716747442105,39.64513342855757,-4.3274166811154595,34.5,0.8177167474421054,47.50207868110037,-12.18436193365826,35.317716747442105,0.0,88.64735945485519,88.0,89.08587257617727,89.0,86
50.0,36.23818813834525,13.76181186165475,30.0,20.0,38.686861891973464,11.313138108026529,33.0,17.0,88.59421613394217,88.0,88.67250115154306,89.0,92
38.0,36.23818813834525,1.7618118616547491,30.0,8.0,38.686861891973464,-0.6868618919734715,33.0,5.0,88.59421613394217,88.0,88.67250115154306,89.0,93
14.0,36.23818813834525,-22.23818813834525,30.0,-16.0,38.686861891973464,-24.686861891973468,33.0,-19.0,88.59421613394217,88.0,88.67250115154306,89.0,84
25.0,36.23818813834525,-11.23818813834525,30.0,-5.0,21.66666666666667,3.333333333333332,20.0,5.0,88.59421613394217,88.0,87.01785714285714,87.0,87
35.0,36.23818813834525,-1.2381881383452509,30.0,5.0,38.686861891973464,-3.686861891973472,33.0,2.0,88.59421613394217,88.0,88.67250115154306,89.0,84
35.317716747442105,40.08589605462504,-4.768179307182933,30.0,5.317716747442105,35.06946104463741,0.24825570280469125,29.0,6.317716747442106,88.8061737257717,89.0,88.49864498644985,88.0,94
12.0,40.08589605462504,-28.08589605462504,30.0,-18.0,35.06946104463741,-23.069461044637407,29.0,-17.0,88.8061737257717,89.0,88.49864498644985,88.0,88
14.0,36.23818813834525,-22.23818813834525,30.0,-16.0,38.686861891973464,-24.686861891973468,33.0,-19.0,88.59421613394217,88.0,88.67250115154306,89.0,85
20.0,36.23818813834525,-16.23818813834525,30.0,-10.0,38.686861891973464,-18.686861891973468,33.0,-13.0,88.59421613394217,88.0,88.67250115154306,89.0,87
45.0,36.23818813834525,8.761811861654751,30.0,15.0,32.15239425095908,12.847605749040925,28.0,17.0,88.59421613394217,88.0,88.8546511627907,89.0,92
32.0,36.23818813834525,-4.238188138345252,30.0,2.0,38.686861891973464,-6.686861891973472,33.0,-1.0,88.59421613394217,88.0,88.67250115154306,89.0,87
15.0,27.371567043618747,-12.371567043618743,20.0,-5.0,14.7,0.3000000000000007,15.0,0.0,88.26373626373626,88.0,87.0,87.0,86
25.0,33.75182481751825,-8.751824817518248,22.0,3.0,32.611111111111114,-7.6111111111111125,25.0,0.0,88.67883211678833,89.0,89.27777777777777,89.5,91
24.0,33.75182481751825,-9.751824817518248,22.0,2.0,32.611111111111114,-8.611111111111112,25.0,-1.0,88.67883211678833,89.0,89.27777777777777,89.5,89
14.0,39.64513342855757,-25.645133428557568,34.5,-20.5,34.6926756603655,-20.692675660365502,24.5,-10.5,88.64735945485519,88.0,88.13636363636364,88.0,86
60.0,33.75182481751825,26.248175182481752,22.0,38.0,38.37142857142858,21.628571428571423,22.0,38.0,88.67883211678833,89.0,89.27142857142857,89.0,93
100.0,36.23818813834525,63.76181186165475,30.0,70.0,38.686861891973464,61.313138108026536,33.0,67.0,88.59421613394217,88.0,88.67250115154306,89.0,95
27.0,33.75182481751825,-6.751824817518247,22.0,5.0,42.54545454545455,-15.545454545454547,31.0,-4.0,88.67883211678833,89.0,88.86363636363636,88.0,88
65.0,39.64513342855757,25.354866571442443,34.5,30.5,34.6926756603655,30.307324339634494,24.5,40.5,88.64735945485519,88.0,88.13636363636364,88.0,92
33.0,23.45132060431057,9.54867939568943,16.5,16.5,23.980940757619585,9.019059242380417,17.0,16.0,86.48425196850393,86.0,86.60698689956331,86.0,91
35.317716747442105,40.08589605462504,-4.768179307182933,30.0,5.317716747442105,35.06946104463741,0.24825570280469125,29.0,6.317716747442106,88.8061737257717,89.0,88.49864498644985,88.0,87
12.0,23.45132060431057,-11.45132060431057,16.5,-4.5,18.6,-6.600000000000001,15.0,-3.0,86.48425196850393,86.0,85.36,86.0,86
46.0,36.23818813834525,9.761811861654751,30.0,16.0,38.686861891973464,7.313138108026528,33.0,13.0,88.59421613394217,88.0,88.67250115154306,89.0,93
34.0,45.661196406364404,-11.661196406364413,28.0,6.0,34.0,0.0,34.0,0.0,89.9136690647482,90.0,91.0,91.0,91
35.317716747442105,30.03964531999103,5.278071427451079,29.0,6.317716747442106,40.873047926763604,-5.555331179321492,36.658858373721046,-1.3411416262789473,90.11650485436891,90.0,92.20833333333331,92.5,90
50.0,36.23818813834525,13.76181186165475,30.0,20.0,38.686861891973464,11.313138108026529,33.0,17.0,88.59421613394217,88.0,88.67250115154306,89.0,90
40.0,33.75182481751825,6.248175182481753,22.0,18.0,31.8,8.2,35.0,5.0,88.67883211678833,89.0,90.2,91.0,91
19.0,29.063291139240505,-10.063291139240503,24.0,-5.0,40.857142857142854,-21.857142857142854,19.0,0.0,88.87341772151899,89.0,89.85714285714286,90.0,89
42.0,36.23818813834525,5.761811861654749,30.0,12.0,32.15239425095908,9.847605749040925,28.0,14.0,88.59421613394217,88.0,88.8546511627907,89.0,93
140.0,39.64513342855757,100.35486657144243,34.5,105.5,47.50207868110037,92.49792131889963,35.317716747442105,104.68228325255791,88.64735945485519,88.0,89.08587257617727,89.0,92
