price,points,country,province,price_per_country_mean,price_per_country_mean_diff,price_per_country_median,price_per_country_median_diff,price_per_province_mean,price_per_province_mean_diff,price_per_province_median,price_per_province_median_diff,points_per_country_mean,points_per_country_median,points_per_province_mean,points_per_province_median
32.0,87,US,California,36.23818813834525,-4.238188138345251,30.0,2.0,38.68686189197347,-6.6868618919734715,33.0,-1.0,88.59421613394215,88.0,88.67250115154307,89.0
15.0,86,South Africa,Western Cape,27.371567043618743,-12.371567043618743,20.0,-5.0,14.7,0.3000000000000007,15.0,0.0,88.26373626373626,88.0,87.0,87.0
25.0,91,Australia,Western Australia,33.75182481751825,-8.751824817518248,22.0,3.0,32.611111111111114,-7.611111111111114,25.0,0.0,88.67883211678833,89.0,89.27777777777777,89.5
24.0,89,Australia,Western Australia,33.75182481751825,-9.751824817518248,22.0,2.0,32.611111111111114,-8.611111111111114,25.0,-1.0,88.67883211678833,89.0,89.27777777777777,89.5
14.0,86,Italy,Veneto,39.645133428557564,-25.645133428557564,34.5,-20.5,34.6926756603655,-20.692675660365502,24.5,-10.5,88.64735945485519,88.0,88.13636363636364,88.0
60.0,93,Australia,South Australia,33.75182481751825,26.248175182481752,22.0,38.0,38.371428571428574,21.628571428571426,22.0,38.0,88.67883211678833,89.0,89.27142857142857,89.0
100.0,95,US,California,36.23818813834525,63.76181186165475,30.0,70.0,38.68686189197347,61.31313810802653,33.0,67.0,88.59421613394215,88.0,88.67250115154307,89.0
27.0,88,Australia,Victoria,33.75182481751825,-6.751824817518248,22.0,5.0,42.54545454545455,-15.545454545454547,31.0,-4.0,88.67883211678833,89.0,88.86363636363636,88.0
65.0,92,Italy,Veneto,39.645133428557564,25.354866571442436,34.5,30.5,34.6926756603655,30.307324339634498,24.5,40.5,88.64735945485519,88.0,88.13636363636364,88.0
33.0,91,Argentina,Mendoza Province,23.45132060431057,9.54867939568943,16.5,16.5,23.980940757619585,9.019059242380415,17.0,16.0,86.48425196850394,86.0,86.60698689956332,86.0
35.317716747442105,87,France,Bordeaux,40.08589605462504,-4.768179307182933,30.0,5.317716747442105,35.069461044637414,0.24825570280469123,29.0,6.317716747442105,88.80617372577171,89.0,88.49864498644986,88.0
12.0,86,Argentina,Other,23.45132060431057,-11.45132060431057,16.5,-4.5,18.6,-6.600000000000001,15.0,-3.0,86.48425196850394,86.0,85.36,86.0
46.0,93,US,California,36.23818813834525,9.76181186165475,30.0,16.0,38.68686189197347,7.3131381080265285,33.0,13.0,88.59421613394215,88.0,88.67250115154307,89.0
34.0,91,Germany,Mittelrhein,45.66119640636441,-11.661196406364411,28.0,6.0,34.0,0.0,34.0,0.0,89.9136690647482,90.0,91.0,91.0
35.317716747442105,90,Austria,Wachau,30.039645319991028,5.278071427451078,29.0,6.317716747442105,40.8730479267636,-5.555331179321492,36.65885837372105,-1.3411416262789473,90.11650485436893,90.0,92.20833333333333,92.5
50.0,90,US,California,36.23818813834525,13.76181186165475,30.0,20.0,38.68686189197347,11.313138108026529,33.0,17.0,88.59421613394215,88.0,88.67250115154307,89.0
40.0,91,Australia,Tasmania,33.75182481751825,6.248175182481752,22.0,18.0,31.8,8.2,35.0,5.0,88.67883211678833,89.0,90.2,91.0
19.0,89,New Zealand,Hawke's Bay,29.063291139240505,-10.063291139240505,24.0,-5.0,40.857142857142854,-21.857142857142854,19.0,0.0,88.87341772151899,89.0,89.85714285714286,90.0
42.0,93,US,Washington,36.23818813834525,5.761811861654749,30.0,12.0,32.15239425095908,9.847605749040923,28.0,14.0,88.59421613394215,88.0,88.8546511627907,89.0
